clientOrderId,clientUserId,createDate,flow,price,finishDate,updateDate,updator,storeId,disName,sDate,eDate,realStartDate,realEndDate,startDistance,endDistance,payId,prePrice,payDate,plusPrice,checkTitle,checkUniNo,cancelNote,email,clientType,reserveNote,clientNote,deposit,returnStoreId,rentDateType,vatNo,vatCompanyTitle,promotionCode,discount,depositPayMethod,endPayMethod,beforePay,beforePayMethod,beforePrice,beforeOrginPrice,beforeDiscount,cancelReasonType,qty,carrierNum,getType,rentKeyBoxId,returnKeyBoxId,ecoNo,asiaMilesId,plusCancelInsurance
16136899822610259,H122823149,20210219071302,500,1,,20210219084657,admin,1,,20210219070000,20210220070000,20210219072041,20210219084632,501,502,,780,,201,,,,,1,123,,0,,1,,,,0,,,T,,0,0,0,,1,,0,,,,,0
16137952140620577,A202102201,20210220122654,400,19720,,20210321130647,哲哲,1,,20210305180000,20210322100000,20210220125732,20210321130625,44460,44461,,11560,,0,,,,,1,需兩頂安全帽 謝謝！,,200,,1,,,,0,,,T,,0,0,0,,1,,0,,,,,0
16137962139280809,A2021022002,20210220124333,1000,480,,20210321085206,哲哲,1,,20210221123000,20210222123000,,,,,,480,,,,,,,1,KKday訂單,,0,,1,,,,0,,,T,,0,0,0,,1,,0,,,,,0
16138004875540433,H122823149,20210220135444,500,4960,,20210313120431,哲哲,1,,20210221153000,20210221160000,20210306170528,20210313120419,8808,8809,,0,,0,,,,,1,123,,0,,1,,,,0,,,T,,0,0,0,,1,,0,,,,,0
16138005883130435,H122823149,20210220135624,1000,680,,20210327082922,哲哲,1,,20210220133000,20210221133000,,,,,,,,,,,,,1,,,0,,1,,,,0,,,T,,0,0,0,,1,,0,,,,,0
16139835748120995," FA30063279",20210222164614,500,160,,20210222165316,admin,1,,20210222150000,20210222180000,20210222165013,20210222165031,8406,8407,,210,,60,,,,,1,兩件雨衣,,0,,1,,,,0,,,T,,0,0,0,,1,,0,,,,,0
16143300250080993,E123659248,20210226170024,500,1940,,20210302120514,asd91125,1,,20210227140000,20210302140000,20210227141027,20210302120255,20000,20001,,1940,,0,,,,,1,已收訂金200元,,200,,1,,,,0,,,T,,0,0,0,,1,,0,,,,,0
16143301570710021,G222041728,20210226170237,400,593,,20210228165335,哲哲,1,,20210228100000,20210228190000,20210228105947,20210228165143,17236,17307,,580,,0,,,,,1,已收訂金200元,,200,,1,,,,0,,,T,,0,0,0,,1,,0,,,,,0
16143302832880533,S224432011,20210226170443,400,1370,,20210301191433,Venson,1,,20210227180000,20210301180000,20210227182951,20210301191014,15455,15623,,1260,,0,,,,,1,已收訂金200元,,200,,1,,,,0,,,T,,0,0,0,,1,,0,,,,,0
16143303747530494,S124752945,20210226170614,500,1700,,20210301172234,Venson,1,,20210227130000,20210301170000,20210227134539,20210301171933,5928,6104,,1700,,0,,,,,1,已收訂金200元,,200,,1,,,,0,,,T,,0,0,0,,1,,0,,,,,0
